Date,Strawberry
1/23/2013,2.742409513
1/24/2013,2.74379693
1/25/2013,2.744115577
1/26/2013,1.35970305
1/27/2013,1.35970305
1/28/2013,1.35970305
1/29/2013,1.35970305
1/30/2013,1.35970305
1/31/2013,1.35970305
2/1/2013,1.35970305
2/2/2013,1.35970305
2/3/2013,1.35970305
2/4/2013,1.35970305
2/5/2013,1.35970305
2/6/2013,1.35973014
2/7/2013,1.35973014
2/8/2013,1.35973014
2/9/2013,1.35973014
2/10/2013,1.35973014
2/11/2013,1.35973014
2/12/2013,1.35973014
2/13/2013,1.35973014
2/14/2013,1.35973014
2/15/2013,1.35973014
2/16/2013,1.35973014
2/17/2013,1.35973014
2/18/2013,1.359753743
2/19/2013,1.359753743
2/20/2013,1.359753743
2/21/2013,1.359753743
2/22/2013,1.359753743
2/23/2013,1.359753743
2/24/2013,1.359753743
2/25/2013,1.359753743
2/26/2013,1.359753743
2/27/2013,1.359753743
2/28/2013,1.359753743
3/1/2013,1.359753743
3/2/2013,1.359773949
3/3/2013,1.359773949
3/4/2013,1.359773949
3/5/2013,1.359773949
3/6/2013,1.359773949
3/7/2013,1.359773949
3/8/2013,1.359773949
3/9/2013,1.359773949
3/10/2013,1.359773949
3/11/2013,1.44
3/12/2013,1.44
3/13/2013,1.44
3/14/2013,1.44
3/15/2013,1.44
3/16/2013,1.458698735
3/17/2013,1.430810556
3/18/2013,1.44
3/19/2013,1.44
3/20/2013,1.44
3/21/2013,1.33
3/22/2013,1.22
3/23/2013,1.213454888
3/24/2013,1.178301678
3/25/2013,1.11
3/26/2013,1
3/27/2013,1
3/28/2013,0.78
3/29/2013,0.78
3/30/2013,0.752149225
3/31/2013,0.779012487
4/1/2013,0.78
4/2/2013,0.78
4/3/2013,0.78
4/4/2013,0.78
4/5/2013,0.78
4/6/2013,0.787045882
4/7/2013,0.857467369
4/8/2013,0.78
4/9/2013,0.72
4/10/2013,0.72
4/11/2013,0.72
4/12/2013,0.72
4/13/2013,0.774712191
4/14/2013,0.895311729
4/15/2013,0.72
4/16/2013,0.72
4/17/2013,0.72
4/18/2013,0.72
4/19/2013,0.72
4/20/2013,0.763565198
4/21/2013,0.869256393
4/22/2013,0.8
4/23/2013,0.8
4/24/2013,0.75
4/25/2013,0.75
4/26/2013,0.75
4/27/2013,0.795144097
4/28/2013,0.895137296
4/29/2013,0.75
4/30/2013,0.75
5/1/2013,0.75
5/2/2013,0.86
5/3/2013,0.86
5/4/2013,0.975520954
5/5/2013,1.129560039
5/6/2013,0.91
5/7/2013,0.91
5/8/2013,0.91
5/9/2013,0.96
5/10/2013,0.97
5/11/2013,1.003021643
5/12/2013,1.107279465
5/13/2013,0.97
5/14/2013,0.96
5/15/2013,0.96
5/16/2013,1.02
5/17/2013,1.02
5/18/2013,1.03939955
5/19/2013,1.060169683
5/20/2013,1.02
5/21/2013,1.02
5/22/2013,0.96
5/23/2013,0.96
5/24/2013,0.96
5/25/2013,0.936954186
5/26/2013,0.951083795
5/27/2013,0.959392116
5/28/2013,0.96
5/29/2013,0.85
5/30/2013,0.85
5/31/2013,0.85
6/1/2013,0.849440233
6/2/2013,0.853508339
6/3/2013,0.85
6/4/2013,0.85
6/5/2013,0.85
6/6/2013,0.85
6/7/2013,0.85
6/8/2013,0.859324799
6/9/2013,0.86067234
6/10/2013,0.85
6/11/2013,0.85
6/12/2013,0.85
6/13/2013,0.85
6/14/2013,0.85
6/15/2013,0.85741967
6/16/2013,0.858812273
6/17/2013,0.9
6/18/2013,0.9
6/19/2013,0.96
6/20/2013,0.96
6/21/2013,0.96
6/22/2013,0.97825189
6/23/2013,0.978304282
6/24/2013,0.96
6/25/2013,0.96
6/26/2013,0.96
6/27/2013,1.07
6/28/2013,1.07
6/29/2013,1.070779965
6/30/2013,1.088775889
7/1/2013,1.07
7/2/2013,1.02
7/3/2013,1.02
7/4/2013,1.009880141
7/5/2013,0.96
7/6/2013,0.957565711
7/7/2013,0.969830379
7/8/2013,0.96
7/9/2013,0.94
7/10/2013,0.83
7/11/2013,0.83
7/12/2013,0.83
7/13/2013,0.843210534
7/14/2013,0.867575452
7/15/2013,0.78
7/16/2013,0.78
7/17/2013,0.72
7/18/2013,0.72
7/19/2013,0.72
7/20/2013,0.753279865
7/21/2013,0.753374771
7/22/2013,0.83
7/23/2013,0.83
7/24/2013,0.83
7/25/2013,0.83
7/26/2013,0.83
7/27/2013,0.85772124
7/28/2013,0.861836419
7/29/2013,0.83
7/30/2013,0.83
7/31/2013,0.78
8/1/2013,0.78
8/2/2013,0.78
8/3/2013,0.805931047
8/4/2013,0.804459051
8/5/2013,0.83
8/6/2013,0.83
8/7/2013,0.94
8/8/2013,0.94
8/9/2013,0.94
8/10/2013,0.967801557
8/11/2013,0.984838144
8/12/2013,1.06
8/13/2013,1.06
8/14/2013,1.06
8/15/2013,1.06
8/16/2013,1.17
8/17/2013,1.179934428
8/18/2013,1.197914795
8/19/2013,1.22
8/20/2013,1.22
8/21/2013,1.22
8/22/2013,1.22
8/23/2013,1.28
8/24/2013,1.285537646
8/25/2013,1.302556441
8/26/2013,1.39
8/27/2013,1.39
8/28/2013,1.39
8/29/2013,1.39
8/30/2013,1.39
8/31/2013,1.394413248
9/1/2013,1.41430299
9/2/2013,1.413847909
